"","dep_delay","carrier","orig.id"
"1",-1,"AA","5184"
"2",-5,"AA","22097"
"3",-9,"AA","1484"
"4",-5,"AA","24636"
"5",28,"AA","23039"
"6",-3,"AA","36898"
"7",-8,"AA","24280"
"8",8,"AA","36303"
"9",-5,"AA","9112"
"10",27,"AA","28625"
"11",-2,"AA","35747"
"12",-3,"AA","35885"
"13",-6,"AA","34352"
"14",-7,"AA","9468"
"15",-3,"AA","30997"
"16",-9,"AA","1093"
"17",-8,"AA","35792"
"18",-4,"AA","10203"
"19",-1,"AA","4699"
"20",78,"AA","2612"
"21",0,"AA","33675"
"22",-4,"AA","35510"
"23",0,"AA","33898"
"24",-7,"AA","25099"
"25",-10,"AA","1716"
"26",-8,"AA","5048"
"27",-5,"AA","40288"
"28",127,"AA","1140"
"29",775,"AA","28405"
"30",1,"AA","789"
"31",0,"AA","25836"
"32",0,"AA","37095"
"33",-5,"AA","7985"
"34",-8,"AA","36987"
"35",-4,"AA","32715"
"36",-1,"AA","23769"
"37",-14,"AA","34173"
"38",11,"AA","19447"
"39",-7,"AA","31043"
"40",2,"AA","16381"
"41",2,"AA","2955"
"42",55,"AA","40262"
"43",-2,"AA","9482"
"44",-8,"AA","36346"
"45",-8,"AA","19840"
"46",-16,"AA","27504"
"47",-4,"AA","29434"
"48",59,"AA","24455"
"49",-1,"AA","24927"
"50",-11,"AA","5416"
"51",-5,"AA","34655"
"52",14,"AA","32591"
"53",-1,"AA","20492"
"54",22,"AA","13159"
"55",-6,"AA","36220"
"56",-7,"AA","1709"
"57",-1,"AA","766"
"58",68,"AA","10929"
"59",-8,"AA","4533"
"60",-10,"AA","36018"
"61",-5,"AA","3607"
"62",21,"AA","10343"
"63",28,"AA","9818"
"64",-3,"AA","12234"
"65",-6,"AA","1687"
"66",97,"AA","27605"
"67",963,"AA","19983"
"68",20,"AA","1735"
"69",1,"AA","17302"
"70",-7,"AA","2401"
"71",-4,"AA","31500"
"72",258,"AA","1105"
"73",-1,"AA","38991"
"74",-7,"AA","35450"
"75",-2,"AA","26685"
"76",-7,"AA","24585"
"77",-5,"AA","8428"
"78",-2,"AA","32052"
"79",2,"AA","12704"
"80",0,"AA","10712"
"81",-5,"AA","26120"
"82",-4,"AA","14089"
"83",-4,"AA","21652"
"84",-6,"AA","829"
"85",33,"AA","7846"
"86",-2,"AA","24953"
"87",-2,"AA","21279"
"88",84,"AA","20115"
"89",-7,"AA","16395"
"90",2,"AA","8510"
"91",6,"AA","6251"
"92",-7,"AA","122"
"93",-1,"AA","33423"
"94",-4,"AA","29202"
"95",-7,"AA","33392"
"96",30,"AA","26024"
"97",-4,"AA","22880"
"98",-1,"AA","36377"
"99",-9,"AA","18307"
"100",-4,"AA","7522"
