"","year","month","day","dep_delay","arr_delay","carrier","air_time","distance"
"1",2013,8,6,9,0,"UA",320,2454
"2",2013,10,3,-8,4,"MQ",79,544
"3",2013,3,27,51,31,"EV",127,872
"4",2013,9,24,-1,-9,"WN",217,1605
"5",2013,7,20,29,97,"9E",49,213
"6",2013,5,5,1,-7,"9E",66,425
"7",2013,5,29,86,114,"EV",94,488
"8",2013,2,20,-2,-2,"AA",142,944
"9",2013,8,13,88,94,"B6",139,1028
"10",2013,5,26,-5,-28,"DL",120,944
"11",2013,12,30,-3,2,"UA",215,1416
"12",2013,1,15,-4,-17,"DL",296,1990
"13",2013,10,1,124,117,"US",76,541
"14",2013,7,31,-5,-12,"WN",102,711
"15",2013,5,29,1,-13,"EV",47,229
"16",2013,10,24,-6,-7,"EV",49,228
"17",2013,4,6,-3,23,"AA",144,1096
"18",2013,1,13,-6,-6,"9E",109,665
"19",2013,7,12,-8,-20,"UA",37,200
"20",2013,7,31,-3,-6,"DL",141,1010
"21",2013,8,29,1,-12,"EV",76,463
"22",2013,2,27,0,2,"US",55,214
"23",2013,9,9,-6,-20,"B6",48,273
"24",2013,1,5,-7,-35,"DL",317,2248
"25",2013,6,7,28,12,"UA",194,1416
"26",2013,11,19,-6,-3,"US",90,544
"27",2013,12,23,0,-3,"AA",166,1096
"28",2013,2,13,5,5,"UA",359,2586
"29",2013,10,12,0,0,"UA",120,937
"30",2013,8,3,-2,-24,"AA",39,187
"31",2013,8,14,-3,9,"AA",329,2475
"32",2013,12,6,-6,33,"B6",382,2446
"33",2013,3,24,-4,-7,"US",96,544
"34",2013,11,14,0,-13,"B6",333,2422
"35",2013,6,13,20,25,"UA",605,4963
"36",2013,4,20,-5,-37,"9E",146,1029
"37",2013,8,19,-4,-13,"EV",97,628
"38",2013,10,30,5,17,"AA",362,2586
"39",2013,2,11,8,-1,"UA",228,1605
"40",2013,10,14,-5,6,"AA",198,1389
"41",2013,5,26,-2,-27,"UA",136,1023
"42",2013,12,29,2,-9,"DL",333,2422
"43",2013,3,17,-6,-4,"DL",176,1183
"44",2013,7,23,10,1,"B6",69,427
"45",2013,5,16,24,-9,"UA",145,1167
"46",2013,5,4,-4,-42,"DL",318,2586
"47",2013,10,8,-5,-35,"DL",288,2248
"48",2013,9,15,-9,-30,"DL",148,1076
"49",2013,1,1,-7,-19,"AS",336,2402
"50",2013,9,6,-5,-21,"DL",246,1990
"51",2013,9,11,-4,-26,"DL",330,2586
"52",2013,5,5,2,12,"UA",147,937
"53",2013,5,6,13,-25,"WN",118,888
"54",2013,6,7,59,41,"DL",304,2475
"55",2013,6,16,-3,-7,"B6",193,1598
"56",2013,3,11,-4,-40,"AA",180,1598
"57",2013,9,2,27,24,"9E",108,665
"58",2013,7,16,-5,-39,"UA",313,2565
"59",2013,12,15,-3,-16,"US",47,214
"60",2013,10,18,-6,-22,"US",35,184
"61",2013,10,4,-7,-18,"EV",149,1008
"62",2013,7,1,110,136,"DL",175,1069
"63",2013,8,11,-2,-21,"AA",40,187
"64",2013,5,25,-4,-10,"US",76,544
"65",2013,3,16,-2,-14,"B6",189,1576
"66",2013,8,12,4,19,"MQ",88,544
"67",2013,6,17,-4,47,"EV",47,284
"68",2013,6,13,255,341,"FL",104,762
"69",2013,10,28,-3,-23,"MQ",40,213
"70",2013,7,19,-3,-24,"EV",38,199
"71",2013,10,3,-1,-18,"AA",190,1389
"72",2013,1,31,-4,-19,"B6",32,187
"73",2013,12,2,77,67,"EV",89,533
"74",2013,1,6,-5,-13,"B6",343,2475
"75",2013,6,30,0,-15,"9E",46,213
"76",2013,11,15,-9,-10,"EV",101,594
"77",2013,3,28,-5,-5,"US",90,544
"78",2013,3,6,-2,1,"B6",155,944
"79",2013,10,17,-5,-10,"B6",313,2422
"80",2013,5,13,88,47,"UA",316,2565
"81",2013,10,29,-3,10,"UA",353,2425
"82",2013,8,5,-4,1,"AA",187,1389
"83",2013,2,25,-3,3,"DL",119,746
"84",2013,1,3,1,25,"US",103,544
"85",2013,12,8,-2,-10,"WN",253,1504
"86",2013,6,26,5,-3,"EV",49,229
"87",2013,6,16,171,197,"EV",121,746
"88",2013,5,13,0,-9,"EV",35,160
"89",2013,4,27,-4,-21,"B6",147,1041
"90",2013,12,9,48,47,"UA",156,1065
"91",2013,11,19,-4,-22,"US",283,2133
"92",2013,8,6,-4,-18,"FL",60,397
"93",2013,10,3,-1,-16,"DL",268,1990
"94",2013,7,5,-5,-7,"B6",318,2475
"95",2013,12,15,80,77,"B6",63,301
"96",2013,10,2,-9,-35,"AA",198,1389
"97",2013,1,28,-8,-7,"MQ",83,544
"98",2013,7,8,61,55,"EV",39,209
"99",2013,12,16,-7,-13,"DL",150,1035
"100",2013,9,28,-8,-26,"EV",84,628
"101",2023,11,27,33,28,"B6",111,636
"102",2023,2,22,-10,11,"B6",371,2454
"103",2023,10,2,47,25,"9E",46,258
"104",2023,8,20,-3,-31,"DL",173,1389
"105",2023,10,26,11,30,"HA",638,4983
"106",2023,3,17,18,4,"AA",147,1096
"107",2023,2,25,11,3,"UA",55,282
"108",2023,4,30,-1,17,"B6",81,509
"109",2023,8,25,-3,-11,"UA",168,1372
"110",2023,11,30,-9,-41,"UA",205,1372
"111",2023,6,13,-3,-72,"B6",298,2475
"112",2023,5,17,1,-14,"9E",46,228
"113",2023,2,1,6,3,"UA",162,1034
"114",2023,12,23,2,5,"DL",104,746
"115",2023,3,23,-5,-9,"9E",122,833
"116",2023,2,1,-2,15,"YX",45,198
"117",2023,2,15,0,-6,"AA",127,733
"118",2023,12,20,-7,-22,"9E",57,301
"119",2023,7,13,1,80,"YX",196,1341
"120",2023,6,11,-4,-12,"B6",148,1076
"121",2023,5,7,96,104,"B6",380,2586
"122",2023,7,10,68,54,"UA",73,488
"123",2023,3,10,1,-11,"WN",113,725
"124",2023,11,26,52,47,"UA",152,997
"125",2023,12,18,6,-9,"UA",193,1400
"126",2023,7,16,85,63,"YX",120,764
"127",2023,12,22,-5,-3,"OO",71,340
"128",2023,11,30,-2,-13,"9E",96,618
"129",2023,11,7,-6,-34,"NK",143,1085
"130",2023,5,1,-5,-30,"OO",115,765
"131",2023,8,29,-10,-24,"UA",313,2434
"132",2023,1,13,54,49,"YX",101,594
"133",2023,4,22,-6,-4,"DL",170,1035
"134",2023,1,10,-3,-10,"AS",333,2422
"135",2023,4,6,-7,-15,"NK",84,563
"136",2023,9,17,-1,-36,"DL",316,2454
"137",2023,4,28,-8,-2,"AA",103,733
"138",2023,9,25,9,18,"YX",79,483
"139",2023,12,4,-6,-9,"UA",229,1504
"140",2023,2,2,2,-16,"DL",153,1076
"141",2023,4,26,-5,-7,"YX",87,502
"142",2023,2,25,41,27,"NK",121,748
"143",2023,6,7,-8,-32,"9E",154,1107
"144",2023,1,4,69,26,"B6",266,1990
"145",2023,10,22,0,-9,"UA",113,733
"146",2023,3,7,-12,-27,"WN",144,888
"147",2023,2,23,93,98,"UA",128,748
"148",2023,7,25,-7,15,"DL",332,2586
"149",2023,8,25,34,22,"UA",210,1605
"150",2023,11,3,-6,-26,"AA",118,733
"151",2023,2,3,-10,-7,"YX",86,425
"152",2023,11,14,-11,-26,"UA",336,2434
"153",2023,3,26,15,37,"AA",158,1089
"154",2023,4,18,-9,-29,"DL",110,762
"155",2023,5,14,-9,-43,"AA",317,2475
"156",2023,11,11,6,-7,"AA",336,2475
"157",2023,6,6,17,18,"9E",76,500
"158",2023,9,23,1,-22,"AA",84,529
"159",2023,1,18,-3,-22,"YX",36,184
"160",2023,8,16,-10,-27,"YX",182,1341
"161",2023,2,12,-5,-39,"UA",322,2454
"162",2023,11,26,22,12,"AA",102,544
"163",2023,12,10,78,63,"UA",338,2565
"164",2023,5,21,-5,-32,"YX",194,1416
"165",2023,6,11,-10,0,"YX",125,764
"166",2023,11,26,83,101,"B6",163,950
"167",2023,10,20,-11,-34,"AS",336,2586
"168",2023,12,19,-2,-26,"G4",82,583
"169",2023,11,21,26,24,"UA",190,1585
"170",2023,12,24,-5,-11,"DL",153,1074
"171",2023,5,23,-7,-3,"YX",88,483
"172",2023,8,10,58,28,"YX",62,290
"173",2023,2,20,24,20,"B6",116,760
"174",2023,10,29,63,58,"B6",70,427
"175",2023,9,23,-1,0,"DL",222,1626
"176",2023,9,5,-3,-26,"YX",92,642
"177",2023,5,26,14,6,"DL",49,301
"178",2023,10,9,150,132,"B6",39,184
"179",2023,9,24,-3,-7,"AA",195,1391
"180",2023,3,14,49,26,"AA",86,541
"181",2023,3,26,-6,-29,"YX",136,812
"182",2023,11,17,13,0,"DL",151,1096
"183",2023,10,20,-5,-26,"B6",37,184
"184",2023,1,2,-2,-31,"YX",79,419
"185",2023,4,27,-8,-29,"YX",109,665
"186",2023,6,17,-3,-17,"YX",147,1092
"187",2023,3,24,-2,-24,"DL",149,1089
"188",2023,10,8,11,-10,"WN",106,764
"189",2023,9,14,-6,-16,"OO",121,740
"190",2023,5,3,-4,-43,"DL",104,760
"191",2023,12,16,10,1,"B6",41,209
"192",2023,10,10,-7,-24,"YX",72,419
"193",2023,9,22,-6,-9,"DL",105,746
"194",2023,10,23,-4,-12,"AA",117,733
"195",2023,4,25,6,3,"B6",166,1047
"196",2023,10,29,10,26,"9E",142,888
"197",2023,6,14,-7,-12,"YX",102,687
"198",2023,11,3,-9,-35,"9E",73,500
"199",2023,3,8,-4,7,"B6",36,200
"200",2023,8,1,-4,-13,"OO",113,740
"201",2023,6,7,-10,-34,"9E",45,266
"202",2023,10,16,-7,-19,"YX",68,419
"203",2023,3,13,-3,17,"9E",131,833
"204",2023,7,10,3,-10,"AA",57,335
"205",2023,2,24,37,39,"YX",178,963
"206",2023,2,1,26,70,"B6",268,1620
"207",2023,5,15,194,159,"UA",133,1068
"208",2023,7,12,2,-10,"YX",54,277
"209",2023,3,1,-1,-4,"DL",258,1626
"210",2023,1,1,-7,-20,"YX",83,463
"211",2023,1,26,137,106,"DL",146,1020
